Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
,,,,,,,,,,,,Adrian Tonon,,"TONON, ADRIAN LINO",H,DEM,MI,13.0,C,C,2021-08-20,363367.23,363367.23,0.0,0.0,House
Adriano Espaillat,Male,Latino (Dominican),,,Yes,No,New York,Representative,13,Won,,Adriano Espaillat,DEM,"ESPAILLAT, ADRIANO",H,DEM,NY,13.0,C,I,2012-04-05,1299464.22,1314056.53,98741.21,0.0,House
,,,,,,,,,,,,Aejaz Rab,,"RAB, AEJAZ (RAJI)",H,DEM,CA,32.0,C,C,2015-07-08,3200.0,5453.5,5005.38,141611.25,House
,,,,,,,,,,,,Ahmed Makrom,,"MAKROM, AHMED MATTHEW",H,IND,TN,1.0,N,C,2022-07-30,0.0,0.0,0.0,0.0,House
Aisha Mills,Female,Black,,,No,No,New York,Representative,18,Lost,,Aisha Mills,DEM,"MILLS, AISHA",H,DEM,NY,18.0,C,C,2022-07-01,60434.17,55259.01,5175.16,20408.85,House
Aizar Cavazos,Male,Latino,,,No,No,Texas,Representative,15,Lost,,Aizar Cavazos,REP,,,,,,,,,,,,,
AJ Kern,Female,White,,,No,Yes,Minnesota,Representative,5,Lost,,Aj Kern,DEM,,,,,,,,,,,,,
Aja Smith,Female,Black,,,No,No,California,Representative,39,Won,,Aja Smith,REP,"SMITH, AJA",H,REP,CA,41.0,C,C,2017-03-19,163141.55,150021.04,1994.56,0.0,House
Ajwang Rading,Male,Black,,,No,Yes,California,Representative,16,Lost,,Ajwang Rading,DEM,"RADING, AJWANG",H,DEM,CA,16.0,C,C,2021-07-29,258838.8,233036.68,25802.12,0.0,House
Akil Khalfani,Male,Black,,,No,Yes,New Jersey,Representative,10,Lost,,Akil Khalfani,DEM,"KHALFANI, AKIL",H,DEM,NJ,10.0,N,C,2021-11-03,0.0,0.0,0.0,0.0,House
Akinyemi Agbede,Male,Black,,,No,Yes,California,Senator,,Lost,,Akinyemi Agbede,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Al Deno,,"DENO, AL",H,REP,FL,11.0,N,C,2021-09-15,0.0,0.0,0.0,0.0,House
Al Green,Male,Black,,,Yes,No,Texas,Representative,9,Won,,Al Green,DEM,,,,,,,,,,,,,
