Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
Christian Castelli,Male,White,,,No,No,North Carolina,Representative,6,Won,,Christian Castelli,REP,,,,,,,,,,,,,
Christian Collins,Male,White,,,No,No,Texas,Representative,8,Lost,,Christian Collins,REP,"COLLINS, CHRISTIAN",H,REP,TX,8.0,C,O,2021-10-18,418002.94,418002.94,0.0,0.0,House
,,,,,,,,,,,,Christian Hotchkiss,,"HOTCHKISS, CHRISTIAN DAVID",H,DEM,FL,13.0,N,O,2021-05-18,0.0,0.0,0.0,0.0,House
Christian Nascimento,Male,White,,,No,No,Pennsylvania,Representative,4,Won,,Christian Nascimento,REP,"NASCIMENTO, CHRISTIAN",H,REP,PA,4.0,C,C,2021-08-09,239390.88,237960.54,1430.34,0.0,House
Christian Robertson,Male,White,,,No,Yes,Oregon,Representative,1,Lost,,Christian Robertson,DEM,"ROBERTSON, CHRISTIAN",H,DEM,OR,1.0,N,C,,0.0,0.0,0.0,0.0,House
Christian Zimm,Male,White,,,No,No,Georgia,Representative,5,Won,,Christian Zimm,REP,"ZIMM, CHRISTIAN GERARD",H,REP,GA,5.0,C,C,2021-12-28,35221.14,24556.62,10664.52,0.0,House
Christina Bohannan,Female,White,,,No,No,Iowa,Representative,1,Won,,Christina Bohannan,DEM,"BOHANNAN, CHRISTINA",H,DEM,IA,1.0,C,C,2021-08-24,3197822.62,3168097.69,29724.93,0.0,House
Christina Nolan,Female,White,,,No,No,Vermont,Senator,,Lost,,Christina Nolan,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Christine Bish,,"BISH, CHRISTINE",H,REP,CA,0.0,C,C,2019-10-03,83695.6,84632.17,28.26,38301.55,House
Christine Drazan,Female,White,,,No,No,Oregon,Governor,,Won,,Christine Drazan,REP,,,,,,,,,,,,,
Christine Alexandria Olivo,Female,Black (Haitian),,,No,No,Florida,Representative,26,Won,,Christine Olivo,DEM,"OLIVO, CHRISTINE ALEXANDRIA",H,DEM,FL,26.0,C,C,2020-12-05,138186.98,131107.15,7095.61,22200.0,House
Christine Y. Quinn,Female,White,,,No,No,Florida,Representative,13,Lost,,Christine Quinn,REP,"QUINN, CHRISTINE YVONNE",H,REP,FL,13.0,C,C,2016-02-08,45601.98,45668.12,891.38,157780.9,House
,,,,,,,,,,,,Christine Scott,,"SCOTT, CHRISTINE",H,NPA,FL,23.0,C,C,2019-11-10,102751.17,102745.14,6.03,0.0,House
Christine E. Villaverde,Female,White,,,No,No,North Carolina,Representative,2,Won,,Christine Villaverde,REP,"VILLAVERDE, CHRISTINE",H,REP,NC,2.0,C,C,2021-09-22,149375.48,138312.38,11063.1,60000.0,House
,,,,,,,,,,,,Christoper Suprun,,"SUPRUN, CHRISTOPER",H,DEM,TX,6.0,N,O,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Alcantara,,"ALCANTARA, CHRISTOPHER MANUEL",H,REP,FL,11.0,N,C,2022-03-17,0.0,0.0,0.0,0.0,House
Christopher Bradley,Male,White,,,No,Yes,Florida,Representative,14,Lost,,Christopher Bradley,DEM,"BRADLEY, CHRISTOPHER",H,DEM,FL,14.0,C,C,2021-09-14,39115.0,32809.86,6305.14,26000.0,House
,,,,,,,,,,,,Christopher Butler,,"BUTLER, CHRISTOPHER",H,DEM,IL,1.0,C,O,2021-04-16,144865.72,148501.2,-1135.48,2500.0,House
Christopher C. Christensen,Male,White,,,No,No,Oregon,Senator,,Lost,,Christopher Christensen,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Christopher Claytor,,"CLAYTOR, CHRISTOPHER J.",H,LIB,TX,3.0,N,O,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Constant,,"CONSTANT, CHRISTOPHER",H,DEM,AK,0.0,C,C,2022-02-17,164637.9,164637.9,0.0,143180.09,House
,,,,,,,,,,,,Christopher Dardzinski,,"DARDZINSKI, CHRISTOPHER",H,OTH,MI,13.0,N,C,2022-03-11,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Dargis,,"DARGIS, CHRISTOPHER BRYANT",H,REP,IL,8.0,C,C,2022-03-09,545818.55,542959.18,2859.37,10683.95,House
,,,,,,,,,,,,Christopher Deluzio,,"DELUZIO, CHRISTOPHER",H,DEM,PA,17.0,C,O,2021-08-23,3293132.71,3271004.88,22127.83,24033.33,House
,,,,,,,,,,,,Christopher Franko,,"FRANKO, CHRISTOPHER J",H,DEM,NC,3.0,N,C,2022-03-07,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Fuentes-Padilla,,"FUENTES-PADILLA, CHRISTOPHER ROBBIN MR",H,LIB,NY,6.0,N,C,2017-08-28,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Glasser,,"GLASSER, CHRISTOPHER JAMES",H,DEM,MI,4.0,N,C,2022-03-07,0.0,0.0,0.0,0.0,House
Christopher J. Gonzales,Male,Latino,,,No,No,California,Representative,46,Won,,Christopher Gonzales,REP,"GONZALES, CHRISTOPHER",H,REP,CA,46.0,C,C,2019-11-14,55923.37,49194.3,6729.07,14184.56,House
,,,,,,,,,,,,Christopher Henning,,"HENNING, CHRISTOPHER LEE MR.",H,REP,KY,2.0,C,C,2021-07-07,15559.0,2913.57,12645.43,0.0,House
Christopher Niles Herrod,Male,White,,,No,Yes,Utah,Representative,3,Lost,,Christopher Herrod,REP,"HERROD, CHRISTOPHER NILES",H,REP,UT,3.0,C,C,2017-06-27,105226.92,105226.92,0.0,8354.32,House
,,,,,,,,,,,,Christopher Hill,,"HILL, CHRISTOPHER BROOKS MR.",H,REP,DE,0.0,N,C,2021-09-18,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Hoeppner,,"HOEPPNER, CHRISTOPHER",H,OTH,PA,3.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Jacobs,,"JACOBS, CHRISTOPHER L.",H,REP,NY,23.0,C,I,2019-05-17,829164.32,891993.64,0.0,346561.8,House
,,,,,,,,,,,,Christopher Jones,,"JONES, CHRISTOPHER MICHAEL",H,DEM,TX,37.0,C,O,2021-10-26,27035.0,13390.98,-3120.72,0.0,House
Christopher Kurka,Male,White,,,No,Yes,Alaska,Governor,,Lost,,Christopher Kurka,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Christopher Leiser,,"LEISER, CHRISTOPHER MR.",H,REP,FL,12.0,C,C,2022-06-21,155153.68,17282.7,90806.01,104000.0,House
Christopher A. Mann,Male,White,,,No,No,Oregon,Representative,1,Won,,Christopher Mann,REP,"MANN, CHRISTOPHER ALLAN",H,REP,OR,1.0,N,C,2022-02-07,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Manning,,"MANNING, CHRISTOPHER",H,LIB,NM,1.0,C,O,2021-04-03,5260.76,2119.87,3140.89,0.0,House
,,,,,,,,,,,,Christopher Maynard,,"MAYNARD, CHRISTOPHER",H,DEM,WA,3.0,N,C,2022-01-03,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Milton,,"MILTON, CHRISTOPHER",H,OTH,CO,6.0,N,C,2020-04-13,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Mitchell,,"MITCHELL, CHRISTOPHER",H,CON,CO,5.0,N,C,2021-08-01,165.0,165.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Monday,,"MONDAY, CHRISTOPHER BRIAN",H,UN,TN,6.0,N,C,2017-05-26,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Palombi,,"PALOMBI, CHRISTOPHER",H,REP,MD,5.0,C,C,2019-11-20,63653.38,64701.11,261.12,0.0,House
,,,,,,,,,,,,Christopher Preece,,"PREECE, CHRISTOPHER",H,DEM,KY,6.0,C,C,2021-03-17,33285.87,33285.74,6488.14,1660.0,House
,,,,,,,,,,,,Christopher Rector,,"RECTOR, CHRISTOPHER D.",H,NNE,TX,0.0,N,C,2021-05-11,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Revis,,"REVIS, CHRISTOPHER JOHN",H,REP,TX,8.0,N,O,2021-05-31,0.0,0.0,0.0,0.0,House
Christopher Riley,Male,Latino (Salvadoran),White,,No,Yes,California,Representative,8,Lost,,Christopher Riley,DEM,"RILEY, CHRISTOPHER",H,DEM,CA,8.0,N,C,2022-03-02,0.0,0.0,0.0,0.0,House
Christopher Rodriguez,Male,White,,,No,No,California,Representative,49,Lost,,Christopher Rodriguez,REP,"RODRIGUEZ, CHRISTOPHER",H,REP,CA,49.0,C,C,2021-05-17,1241858.9,1241858.9,0.0,0.0,House
,,,,,,,,,,,,Christopher Russomanno,,"RUSSOMANNO, CHRISTOPHER",H,LIB,NJ,3.0,N,C,2022-04-25,0.0,0.0,0.0,0.0,House
Christopher Ryan,Male,White,,,No,Yes,Missouri,Representative,6,Lost,,Christopher Ryan,REP,"RYAN, CHRISTOPHER",H,REP,MO,6.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Christopher Scurry,,"SCURRY, CHRISTOPHER MICHAEL",H,DEM,TX,37.0,N,O,2021-07-06,2469.85,300.54,4263.62,0.0,House
Christopher H. Smith,Male,White,,,Yes,No,New Jersey,Representative,4,Won,,Christopher Smith,REP,"SMITH, CHRISTOPHER H",H,REP,NJ,4.0,C,I,1978-05-23,1494147.31,1409288.38,226433.26,0.0,House
,,,,,,,,,,,,Christopher West,,"WEST, CHRISTOPHER CHRIS",H,REP,GA,2.0,C,C,2021-12-06,1020600.4,999760.44,20839.96,11400.0,House
,,,,,,,,,,,,Christopher Wiggins,,"WIGGINS, CHRISTOPHER BRICE",H,REP,MS,4.0,C,C,2021-10-24,257206.07,252427.78,4778.29,35067.95,House
Christy McLaughlin,Female,White,,,No,No,Florida,Representative,23,Lost,,Christy Mclaughlin,REP,"MCLAUGHLIN, CHRISTY",H,REP,FL,23.0,C,C,2022-02-16,28076.0,25999.29,2076.71,0.0,House
Christy Smith,Female,White,,,No,No,California,Representative,27,Won,,Christy Smith,DEM,"SMITH, CHRISTY",H,DEM,CA,27.0,C,C,2019-10-30,3949504.79,4067086.96,51825.48,0.0,House
,,,,,,,,,,,,Christy Stutzman,,"STUTZMAN, CHRISTY",H,REP,IN,2.0,N,O,2022-08-15,0.0,0.0,0.0,0.0,House
Chuck Edwards,Male,White,,,No,Yes,North Carolina,Representative,11,Won,,Chuck Edwards,REP,"EDWARDS, CHUCK",H,REP,NC,11.0,C,C,2021-12-02,1584205.79,1486312.92,97892.87,325500.0,House
Chuck Fleischmann,Male,White,,,Yes,No,Tennessee,Representative,3,Won,,Chuck Fleischmann,REP,,,,,,,,,,,,,
Chuck Grassley,Male,White,,,Yes,No,Iowa,Senator,,Won,,Chuck Grassley,REP,,,,,,,,,,,,,
Chuck Montgomery,Male,White,,,No,No,Texas,Representative,8,Lost,,Chuck Montgomery,REP,"MONTGOMERY, CHUCK",H,REP,TX,8.0,N,O,,0.0,0.0,0.0,0.0,House
Chuck Morse,Male,White,,,No,No,New Hampshire,Senator,,Lost,,Chuck Morse,REP,,,,,,,,,,,,,
Chuck Smith,Male,White,,,No,No,California,Senator,,Lost,,Chuck Smith,REP,,,,,,,,,,,,,
Cicely Davis,Female,Black,,,No,No,Minnesota,Representative,5,Won,,Cicely Davis,REP,"DAVIS, CICELY",H,REP,MN,5.0,C,C,2021-07-17,3226697.65,3194319.67,32377.98,0.0,House
Cindy Axne,Female,White,,,Yes,No,Iowa,Representative,3,Won,,Cindy Axne,DEM,"AXNE, CINDY",H,DEM,IA,3.0,C,I,2017-06-02,7231695.0,7246582.43,4633.16,0.0,House
Cindy Banyai,Female,White,,,No,No,Florida,Representative,19,Won,,Cindy Banyai,DEM,"BANYAI, CINDY LYN",H,DEM,FL,19.0,C,C,2019-09-04,108926.24,106718.46,277657.32,36445.06,House
Claire Gustafson,Female,White,,,No,No,New Jersey,Representative,1,Won,,Claire Gustafson,REP,"GUSTAFSON, CLAIRE H.",H,REP,NJ,1.0,C,C,2014-05-20,38650.0,15544.0,30882.0,0.0,House
Claire Ragge,Female,White,,,No,No,California,Representative,36,Lost,,Claire Ragge,REP,"RAGGE, CLAIRE",H,REP,CA,36.0,C,C,2021-07-26,28527.69,28527.69,0.0,13340.0,House
Claire Wirth,Female,White,,,No,Yes,Kentucky,Representative,4,Lost,,Claire Wirth,REP,"WIRTH, CLAIRE",H,REP,KY,4.0,C,C,2021-02-24,461113.41,461113.41,0.0,0.0,House
"Clarence ""Clay"" Taylor",Male,Black,,,No,No,Missouri,Senator,,Lost,,Clarence Taylor,DEM,,,,,,,,,,,,,
Clark Bossert,Male,White,,,No,No,Nevada,Representative,3,Lost,,Clark Bossert,REP,"BOSSERT, CLARK",H,REP,NV,3.0,C,C,2021-08-23,45309.8,45309.8,0.0,0.0,House
,,,,,,,,,,,,Clark Paterson,,"PATERSON, CLARK",H,LIB,TX,37.0,N,O,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Claston Bernard,,"BERNARD, CLASTON",H,REP,LA,2.0,C,O,2021-01-25,200720.22,196217.39,4502.83,28897.03,House
Claudia Tenney,Female,White,,,Yes,No,New York,Representative,24,Won,,Claudia Tenney,REP,"TENNEY, CLAUDIA",H,REP,NY,24.0,C,I,2014-03-25,3301121.74,3642539.45,61449.34,0.0,House
Claudia Andreana Zapata,Female,Latino,,,No,No,Texas,Representative,21,Made runoff,Won,Claudia Zapata,DEM,"ZAPATA, CLAUDIA ANDREANA",H,DEM,TX,21.0,C,C,2021-06-02,118238.36,101740.56,16497.8,0.0,House
Clay Aiken,Male,White,,,No,No,North Carolina,Representative,4,Lost,,Clay Aiken,DEM,,,,,,,,,,,,,
Clay Faircloth,Male,White,,,No,No,Tennessee,Representative,6,Lost,,Clay Faircloth,DEM,"FAIRCLOTH, CLAY",H,DEM,TN,6.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Clay Higgins,,"HIGGINS, CLAY CAPTAIN",H,REP,LA,3.0,C,I,2016-05-17,1057244.85,1101490.38,27517.17,0.0,House
,,,,,,,,,,,,Clay Percle,,"PERCLE, CLAY",H,REP,VA,10.0,C,C,2021-04-26,64756.34,64756.34,0.0,0.0,House
Clay Wagner,Male,White,,,No,Yes,Mississippi,Representative,4,Lost,,Clay Wagner,REP,"WAGNER, CLAY",H,REP,MS,4.0,C,C,2021-09-07,551979.0,551979.0,0.0,292415.28,House
,,,,,,,,,,,,Clayton Aiken,,"AIKEN, CLAYTON CLAY",H,DEM,NC,4.0,C,O,2014-01-31,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Clayton Pajunas,,"PAJUNAS, CLAYTON",H,LIB,NJ,7.0,N,C,2022-04-25,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Clementine Vasquez,,"VASQUEZ, CLEMENTINE",H,DEM,NY,8.0,N,C,2021-05-26,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Clementine Vasquez,,"VASQUEZ, CLEMENTINE",H,DEM,TX,8.0,N,O,2021-05-10,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Clenard Childress,,"CHILDRESS, CLENARD HOWARD JR.",H,OTH,NJ,10.0,N,C,,0.0,0.0,0.0,0.0,House
Cliff S. Bentz,Male,White,,,Yes,No,Oregon,Representative,2,Won,,Cliff Bentz,REP,"BENTZ, CLIFF",H,REP,OR,2.0,C,I,2019-11-01,1184427.97,601566.9,671914.76,48100.0,House
Cliff Moon,Male,White,,,No,No,Washington,Representative,7,Won,,Cliff Moon,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Clifford Greene,,"GREENE, CLIFFORD MARK",H,REP,WA,9.0,N,C,2008-02-11,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Clifford Moon,,"MOON, CLIFFORD E",H,REP,WA,7.0,C,C,2022-06-16,8019.18,21118.12,-13098.94,1500.0,House
,,,,,,,,,,,,Clifton Langdon,,"LANGDON, CLIFTON MR",H,ICD,PA,34.0,N,C,2022-04-04,0.0,0.0,0.0,0.0,House
Clifton Rio Torrado VonBuck,Male,Unknown,,,No,No,California,Representative,34,Lost,,Clifton Vonbuck,REP,"VONBUCK, CLIFTON RIO TORRADO",H,REP,CA,34.0,N,C,,0.0,0.0,0.0,0.0,House
Clint Johnson,Male,White,,,No,No,Oklahoma,Representative,2,Lost,,Clint Johnson,REP,"JOHNSON, CLINT MR",H,REP,OK,2.0,N,O,2022-03-18,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Clint Smith,,"SMITH, CLINT",H,IND,AZ,5.0,C,C,2022-01-07,197482.53,197482.53,0.0,0.0,House
,,,,,,,,,,,,Clyde Benson,,"BENSON, CLYDE",H,REP,TN,4.0,N,C,2021-10-20,0.0,0.0,0.0,0.0,House
"Clyde McClain ""Mac"" Lewman",Male,White,,,No,No,Hawaii,Governor,,Lost,,Clyde Lewman,DEM,,,,,,,,,,,,,
Cody Hart,Male,White,,,No,No,Washington,Representative,2,Lost,,Cody Hart,REP,"HART, CODY",H,OTH,WA,2.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Cody Mcnutt,,"MCNUTT, CODY",H,LIB,DE,0.0,N,C,,0.0,0.0,0.0,0.0,House
Cody Reynolds,Male,White,,,No,No,Oregon,Representative,6,Lost,,Cody Reynolds,DEM,,,,,,,,,,,,,
Cody Usabel,Male,White,,,No,Yes,Idaho,Governor,,Lost,,Cody Usabel,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Cole Matthews,,"MATTHEWS, COLE FRANCIS MR.",H,DEM,NY,20.0,N,C,2021-01-21,0.0,0.0,0.0,0.0,House
Colin Allred,Male,Black,,,Yes,No,Texas,Representative,32,Won,,Colin Allred,DEM,"ALLRED, COLIN",H,DEM,TX,32.0,C,I,2017-04-18,3471591.94,1642112.75,1988901.57,0.0,House
,,,,,,,,,,,,Colin Buerger,,"BUERGER, COLIN",H,DEM,CO,3.0,C,C,2021-08-12,86190.95,86190.95,0.0,0.0,House
,,,,,,,,,,,,Colin Byrd,,"BYRD, COLIN",H,DEM,MD,5.0,C,C,2020-12-29,18441.85,18441.85,0.0,0.0,House
Colin Kilpatrick Obrien,Male,Unknown,,,No,Yes,California,Representative,36,Lost,,Colin Obrien,DEM,"OBRIEN, COLIN KILPATRICK",H,DEM,CA,36.0,N,C,1988-03-28,0.0,0.0,0.0,0.0,House
Colin J. Schmitt,Male,White,,,No,No,New York,Representative,18,Won,,Colin Schmitt,REP,"SCHMITT, COLIN J",H,REP,NY,18.0,C,C,2021-04-05,2062676.07,2060312.62,2363.45,0.0,House
,,,,,,,,,,,,Colin Wilhelm,,"WILHELM, COLIN",H,DEM,CO,3.0,C,C,2021-01-20,308233.1,275892.91,44240.19,293500.0,House
,,,,,,,,,,,,Collin Duprel,,"DUPREL, COLLIN",H,LIB,SD,0.0,N,C,,0.0,0.0,0.0,0.0,House
Colt M. Black,Male,White,,,No,No,Maryland,Representative,6,Lost,,Colt Black,REP,"BLACK, COLT MORNINGSTAR",H,REP,MD,6.0,C,C,2022-01-25,5097.0,1068.19,-794.52,0.0,House
,,,,,,,,,,,,Connell Crooms,,"CROOMS, CONNELL AUBREY",H,DEM,FL,5.0,N,C,2022-01-24,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Connell Wise,,"WISE, CONNELL DR.",H,DEM,DC,0.0,N,C,2021-12-17,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Connie Conway,,"CONWAY, CONNIE",H,REP,CA,22.0,C,I,2022-01-14,179081.98,165972.21,13109.77,0.0,House
Connie Johnson,Female,Black,,,No,No,Oklahoma,Governor,,Lost,,Connie Johnson,DEM,,,,,,,,,,,,,
Conor Halbleib,Male,White,,,No,No,Kentucky,Representative,5,Won,,Conor Halbleib,DEM,"HALBLEIB, CONOR",H,DEM,KY,5.0,C,C,2022-01-18,18701.81,19102.59,623.42,1732.28,House
Conor Lamb,Male,White,,,No,No,Pennsylvania,Senator,,Lost,,Conor Lamb,DEM,,,,,,,,,,,,,
Conrad Kress,Male,White,,,No,No,Hawaii,Representative,1,Won,,Conrad Kress,REP,"KRESS, CONRAD",H,REP,HI,1.0,C,C,2022-02-09,82409.58,82409.58,0.0,0.0,House
Conrad Reynolds,Male,White,,,No,Yes,Arkansas,Representative,2,Lost,,Conrad Reynolds,REP,"REYNOLDS, CONRAD E",H,REP,AR,2.0,C,C,2021-11-30,127592.04,150763.96,2134.97,21442.67,House
Conrad Reynolds,Male,White,,,No,Yes,Arkansas,Representative,2,Lost,,Conrad Reynolds,REP,"REYNOLDS, CONRAD EARL",H,REP,AR,2.0,N,C,2013-11-22,0.0,0.0,0.0,0.0,House
"Constance ""Lov"" Johnson",Female,Black,,,No,No,North Carolina,Senator,,Lost,,Constance Johnson,DEM,,,,,,,,,,,,,
Cora Neumann,Female,White,,,No,No,Montana,Representative,1,Lost,,Cora Neumann,DEM,"NEUMANN, CORA",H,DEM,MT,1.0,C,C,2021-07-13,1449799.79,1542200.27,1541.89,0.0,House
,,,,,,,,,,,,Corbin Cater,,"CATER, CORBIN ZANE",H,IND,TX,8.0,N,O,2021-11-22,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Corbin Cater,,"CATER, CORBIN ZANE",H,IND,TX,16.0,N,C,2021-11-22,0.0,0.0,0.0,0.0,House
Cordie Williams,Male,White,,,No,No,California,Senator,,Lost,,Cordie Williams,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Corey Allen,,"ALLEN, COREY",H,REP,IL,17.0,N,O,2021-03-03,0.0,0.0,0.0,0.0,House
Corey Gibson,Male,White,,,No,Yes,Washington,Representative,4,Lost,,Corey Gibson,REP,"GIBSON, COREY",H,REP,WA,4.0,C,C,2021-08-06,161431.44,192862.33,0.0,0.0,House
Corey Gustafson,Male,White,,,No,No,California,Representative,50,Won,,Corey Gustafson,REP,"GUSTAFSON, COREY",H,REP,CA,50.0,C,C,2022-03-03,94112.24,94112.24,0.0,0.0,House
Corey Reid,Male,White,,,No,Yes,Nevada,Senator,,Lost,,Corey Reid,DEM,,,,,,,,,,,,,
Cori Bush,Female,Black,,,Yes,No,Missouri,Representative,1,Won,,Cori Bush,DEM,"BUSH, CORI",H,DEM,MO,1.0,C,I,2017-04-20,2448937.35,2522592.88,10847.18,35851.25,House
,,,,,,,,,,,,Corinna Balderramos Robinson,,"BALDERRAMOS ROBINSON, CORINNA",H,DEM,FL,21.0,C,C,2021-08-06,82386.46,80338.81,2047.65,0.0,House
Corinna Balderramos Robinson,Female,White,Latino,,No,No,Florida,Representative,21,Won,,Corinna Robinson,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Cornelius Williams,,"WILLIAMS, CORNELIUS F",H,DEM,NE,2.0,N,C,2021-10-07,0.0,0.0,0.0,0.0,House
Corrine Brown,Female,Black,,,No,No,Florida,Representative,10,Lost,,Corrine Brown,DEM,"BROWN, CORRINE",H,DEM,FL,10.0,C,O,2022-07-01,141247.87,139103.23,2144.64,98700.0,House
Cory Mills,Male,White,,,No,No,Florida,Representative,7,Won,,Cory Mills,REP,"MILLS, CORY",H,REP,FL,7.0,C,O,2021-04-01,2634884.12,2608861.85,26022.27,2234112.5,House
,,,,,,,,,,,,Cory Riesen,,"RIESEN, CORY",H,DEM,IN,3.0,N,C,2022-01-14,0.0,0.0,0.0,0.0,House
Court Boice,Male,White,,,No,No,Oregon,Governor,,Lost,,Court Boice,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Courtney Burks,,"BURKS, COURTNEY YVONNE",H,IND,SC,1.0,N,C,2021-02-04,0.0,0.0,0.0,0.0,House
Courtney Geels,Female,White,,,No,No,North Carolina,Representative,4,Won,,Courtney Geels,REP,"GEELS, COURTNEY JOELE",H,REP,NC,4.0,C,O,2021-10-01,409981.2,409981.2,0.0,0.0,House
,,,,,,,,,,,,Coy Branscum,,"BRANSCUM, COY GEE II",H,DEM,TX,21.0,C,C,2021-10-13,20272.46,23914.37,-2709.35,-35.52,House
Coy Gee Branscum II,Male,White,,,No,No,Texas,Representative,21,Lost,,Coy Ii,DEM,,,,,,,,,,,,,
,,,,,,,,,,,,Craig Ennis,,"ENNIS, CRAIG EDWARD MR",H,REP,VA,7.0,N,C,2021-11-04,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Craig Kinsey,,"KINSEY, CRAIG ROBERT",H,REP,NC,4.0,C,O,2021-05-23,31849.5,31949.5,0.0,9990.0,House
Craig S. Riedel,Male,White,,,No,No,Ohio,Representative,9,Lost,,Craig Riedel,REP,"RIEDEL, CRAIG",H,REP,OH,9.0,C,C,2022-01-10,617690.52,617690.52,0.0,192396.95,House
Craig Swartz,Male,White,,,No,No,Ohio,Representative,5,Won,,Craig Swartz,DEM,"SWARTZ, CRAIG STEPHEN",H,DEM,OH,5.0,C,C,2021-12-10,54980.87,54692.3,288.57,0.0,House
,,,,,,,,,,,,Craig Walker,,"WALKER, CRAIG",H,REP,TX,26.0,N,C,2021-10-04,0.0,0.0,0.0,0.0,House
Cresent Hardy,Male,White,,,No,No,Nevada,Representative,1,Lost,,Cresent Hardy,REP,"HARDY, CRESENT",H,REP,NV,1.0,C,C,2018-01-19,11850.06,11850.06,0.0,0.0,House
Cristian Raul Morales,Male,Latino (Guatemalan),,,No,No,California,Governor,,Lost,,Cristian Morales,REP,,,,,,,,,,,,,
Cristina Garcia,Female,Latino,,,No,No,California,Representative,42,Lost,,Cristina Garcia,DEM,"GARCIA, CRISTINA",H,DEM,CA,42.0,C,C,2021-12-23,389182.88,389182.88,0.0,0.0,House
Crystal Cavalier,Female,Native American (Saponi),,,No,No,North Carolina,Representative,4,Lost,,Crystal Cavalier,DEM,"CAVALIER, CRYSTAL ANN",H,DEM,NC,4.0,C,C,2021-12-22,22717.11,23024.64,5.02,5000.0,House
,,,,,,,,,,,,Crystal Prebola,,"PREBOLA, CRYSTAL",H,REP,CA,27.0,N,C,2020-08-11,0.0,0.0,0.0,0.0,House
Crystal L. Vanuch,Female,White,,,No,No,Virginia,Representative,7,Lost,,Crystal Vanuch,REP,"VANUCH, CRYSTAL LYNN",H,REP,VA,7.0,C,C,2022-02-15,521405.23,520615.68,789.55,114362.36,House
,,,,,,,,,,,,Curt Nisly,,"NISLY, CURT",H,REP,IN,2.0,C,C,2022-08-12,16558.0,16558.0,0.0,0.0,House
,,,,,,,,,,,,Curt Zygmond,,"ZYGMOND, CURT ANDREW MR. SR.",H,IND,MT,2.0,N,C,2021-05-15,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Curtis Calabrese,,"CALABRESE, CURTIS",H,DEM,FL,22.0,C,C,2022-04-01,10021.63,10021.63,0.0,0.0,House
,,,,,,,,,,,,Curtis Clark,,"CLARK, CURTIS",H,UST,MI,4.0,N,C,2022-08-22,0.0,0.0,0.0,0.0,House
Curtis D. Godfrey,Male,Black,,,No,Yes,Indiana,Representative,7,Lost,,Curtis Godfrey,DEM,"GODFREY, CURTIS",H,DEM,IN,7.0,N,C,,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Curtis Green,,"GREEN, CURTIS REV",H,DEM,NJ,2.0,N,C,2021-11-10,0.0,0.0,0.0,0.0,House
Curtis D. Huffman,Male,White,,,No,Yes,Nebraska,Representative,1,Lost,,Curtis Huffman,REP,"HUFFMAN, CURTIS D",H,REP,NE,1.0,N,C,,0.0,0.0,0.0,0.0,House
Curtis D. Vaughn,Male,White,,,No,No,Missouri,Senator,,Lost,,Curtis Vaughn,REP,,,,,,,,,,,,,
